Tokyo Guidelines — critérios de GRAVIDADE da colecistite aguda	Grau I (leve): sem os critérios abaixo. Grau II (moderada): leucócitos >18.000, massa palpável no QSD, duração >72h, inflamação local marcada (abscesso, gangrena, enfisematosa). Grau III (grave): disfunção de qualquer órgão/sistema.	ENARE::01_Transversais escores
Tokyo Guidelines — critérios DIAGNÓSTICOS da colecistite aguda	A) sinais locais: Murphy, dor/massa/defesa em QSD. B) sinais sistêmicos: febre, PCR elevada, leucocitose. C) imagem compatível. Suspeita = 1 de A + 1 de B. Definitivo = A + B + C.	ENARE::01_Transversais escores
Tokyo Guidelines — critérios diagnósticos da COLANGITE aguda	A) inflamação sistêmica (febre/calafrios, PCR ou leucócitos alterados). B) colestase (icterícia, provas hepáticas alteradas). C) imagem (dilatação biliar ou etiologia). Suspeita = A + (B ou C). Definitivo = A + B + C.	ENARE::01_Transversais escores
Classificação de Hinchey (diverticulite complicada)	I: abscesso pericólico/mesentérico. II: abscesso pélvico ou retroperitoneal a distância. III: peritonite purulenta generalizada. IV: peritonite fecal.	ENARE::01_Transversais escores
Hinchey — conduta por estágio	I: ATB (± drenagem se >3-4 cm). II: drenagem percutânea + ATB. III e IV: cirurgia (Hartmann ou ressecção com anastomose ± ostomia de proteção; lavagem laparoscópica é opção controversa no III).	ENARE::01_Transversais escores
Classificação de Forrest (úlcera péptica sangrante)	Ia: sangramento arterial em jato. Ib: sangramento em babação. IIa: vaso visível não sangrante. IIb: coágulo aderido. IIc: hematina/mancha escura. III: base limpa.	ENARE::01_Transversais escores
Forrest — risco de ressangramento sem terapia	Ia ~55-90%. Ib ~50%. IIa ~43%. IIb ~22%. IIc ~10%. III ~5%. Terapia endoscópica indicada em Ia, Ib, IIa (e IIb após remoção do coágulo).	ENARE::01_Transversais escores
Critérios de Ranson — admissão (pancreatite BILIAR)	Idade >70, leucócitos >18.000, glicemia >220 mg/dL, LDH >400, AST >250.	ENARE::01_Transversais escores
Critérios de Ranson — admissão (pancreatite NÃO biliar)	Idade >55, leucócitos >16.000, glicemia >200 mg/dL, LDH >350, AST >250.	ENARE::01_Transversais escores
Critérios de Ranson — 48 horas	Queda do hematócrito >10%, aumento da ureia, cálcio <8 mg/dL, PaO2 <60 mmHg, déficit de base >4 (biliar >5), sequestro de líquidos >6 L (biliar >4 L).	ENARE::01_Transversais escores
Ranson — mortalidade por número de critérios	0-2: ~2%. 3-4: ~15%. 5-6: ~40%. 7-8: ~100%. ≥3 critérios = pancreatite grave.	ENARE::01_Transversais escores
Classificação de Balthazar (TC na pancreatite)	A: pâncreas normal. B: aumento focal/difuso. C: inflamação peripancreática. D: uma coleção líquida. E: duas ou mais coleções ou gás. Somado ao % de necrose gera o índice de gravidade tomográfico.	ENARE::01_Transversais escores
Classificação de Atlanta revisada (2012) — gravidade da pancreatite	Leve: sem falência orgânica nem complicação local. Moderadamente grave: falência orgânica transitória (<48h) ou complicação local/sistêmica. Grave: falência orgânica persistente (>48h).	ENARE::01_Transversais escores
Atlanta 2012 — coleções na pancreatite	<4 semanas: coleção líquida peripancreática aguda (edematosa) e coleção necrótica aguda (necrosante). >4 semanas: pseudocisto (edematosa) e necrose encapsulada / WON (necrosante).	ENARE::01_Transversais escores
Classificação de Nyhus (hérnias inguinais)	I: indireta com anel interno normal. II: indireta com anel dilatado, parede posterior íntegra. IIIa: direta. IIIb: indireta com destruição da parede posterior (inclui mista/pantalona). IIIc: femoral. IV: recidivadas (a direta, b indireta, c femoral, d combinada).	ENARE::01_Transversais escores
Classificação de Bismuth-Corlette (colangiocarcinoma peri-hilar)	I: abaixo da confluência dos hepáticos. II: atinge a confluência. IIIa: estende-se ao hepático direito. IIIb: estende-se ao hepático esquerdo. IV: atinge ambos os hepáticos ou é multifocal.	ENARE::01_Transversais escores
Classificação de Todani (cisto de colédoco)	I: dilatação fusiforme extra-hepática (mais comum, ~50-80%). II: divertículo do colédoco. III: coledococele. IVa: intra + extra-hepático. IVb: múltiplos extra-hepáticos. V: doença de Caroli (intra-hepático).	ENARE::01_Transversais escores
Classificação de Strasberg (lesão biliar pós-colecistectomia)	A: fístula do coto cístico ou ducto de Luschka. B: oclusão de ducto aberrante direito. C: secção de ducto aberrante direito sem oclusão. D: lesão lateral da via biliar principal. E1-E5: secção completa (equivale a Bismuth I-V).	ENARE::01_Transversais escores
